ch06,Sexo_Varón,educ,estado_Ocupado,cobertura_medica_tiene,pobre,estado_civil_no_casado,jefe_ocupado,educ_jefe,jefe_mujer,ninos_hogar
29,0,13.0,1,0,0,1,1,13.0,1,1
27,1,10.0,1,0,0,1,1,13.0,1,1
14,1,8.0,0,1,0,1,1,13.0,1,1
16,0,9.0,0,1,1,1,1,13.0,1,3
13,1,10.0,0,1,1,1,1,13.0,1,3
8,1,3.0,0,1,1,1,1,13.0,1,3
4,1,0.0,0,1,1,1,1,13.0,1,3
36,0,11.0,1,0,1,1,1,11.0,1,3
16,0,11.0,0,0,1,1,1,11.0,1,3
41,1,17.0,1,1,0,0,1,17.0,0,0
39,0,16.0,1,1,0,0,1,17.0,0,0
71,0,8.0,0,1,0,1,0,8.0,1,0
77,1,8.0,0,1,0,1,0,8.0,0,0
71,1,8.0,0,1,0,1,0,8.0,0,0
56,0,8.0,1,0,0,1,1,8.0,1,0
17,1,12.0,0,0,0,1,1,8.0,1,0
24,1,8.0,1,0,0,1,1,8.0,1,0
63,1,19.0,1,1,0,1,1,19.0,0,0
1,1,0.0,0,1,0,1,1,17.0,1,2
49,0,16.0,1,1,0,1,1,16.0,1,1
21,1,13.0,1,1,0,1,1,16.0,1,1
27,0,13.0,0,0,1,1,0,13.0,1,1
4,0,0.0,0,1,1,1,0,13.0,1,1
37,0,17.0,1,1,0,1,1,17.0,1,2
36,1,10.0,1,1,0,1,1,17.0,1,2
11,1,7.0,0,1,0,1,1,17.0,1,2
62,1,15.0,0,1,0,0,0,15.0,0,0
59,0,19.0,0,1,0,0,0,15.0,0,0
11,0,6.0,0,1,0,1,1,16.0,1,1
42,0,17.0,1,1,0,0,1,17.0,1,0
46,0,13.0,1,1,0,0,1,17.0,1,0
18,0,13.0,0,1,0,1,1,17.0,1,0
37,1,11.0,1,1,0,1,1,11.0,0,0
39,1,11.0,1,1,0,1,1,11.0,0,0
33,1,15.0,1,1,0,1,1,15.0,0,1
39,0,16.0,1,1,0,1,1,15.0,0,1
4,0,0.0,0,1,0,1,1,15.0,0,1
58,1,19.0,1,1,0,1,1,19.0,0,0
43,0,13.0,1,1,0,0,1,15.0,0,0
15,0,11.0,0,1,0,1,1,15.0,0,0
18,0,13.0,0,1,0,1,1,15.0,0,0
67,0,11.0,1,1,0,1,1,11.0,1,0
24,0,15.0,1,1,0,1,1,15.0,1,0
45,1,15.0,1,1,0,0,1,15.0,0,0
62,0,13.0,1,1,0,0,1,8.0,0,0
52,1,10.0,1,0,0,1,1,10.0,0,0
50,0,13.0,0,1,0,1,0,13.0,1,0
36,1,13.0,1,0,0,1,1,13.0,0,1
42,0,13.0,1,0,0,1,1,13.0,0,1
10,1,5.0,0,0,0,1,1,13.0,0,1
45,1,16.0,1,1,0,0,1,16.0,0,2
45,0,19.0,1,1,0,0,1,16.0,0,2
14,1,11.0,0,1,0,1,1,16.0,0,2
10,1,6.0,0,1,0,1,1,16.0,0,2
62,1,8.0,1,1,0,0,1,8.0,0,0
40,1,11.0,1,0,1,1,1,11.0,0,2
39,0,11.0,0,0,1,1,1,11.0,0,2
51,1,13.0,0,1,0,1,0,13.0,0,0
18,1,13.0,0,1,0,1,0,13.0,0,0
35,0,11.0,1,1,0,1,1,11.0,1,1
35,1,8.0,1,1,0,1,1,11.0,1,1
14,1,11.0,0,1,0,1,1,11.0,1,1
74,1,13.0,0,1,1,0,0,13.0,0,0
70,0,12.0,0,1,1,0,0,13.0,0,0
48,0,13.0,1,1,1,1,0,13.0,0,0
22,0,16.0,0,0,1,1,0,13.0,0,0
19,1,13.0,0,0,1,1,0,13.0,0,0
47,1,4.0,1,1,1,0,1,4.0,0,0
69,0,8.0,0,1,1,1,0,8.0,1,1
35,0,16.0,0,1,1,1,0,8.0,1,1
15,1,10.0,0,1,1,1,0,8.0,1,1
14,1,9.0,0,1,1,1,0,8.0,1,1
34,1,8.0,1,0,1,1,1,8.0,0,0
55,0,9.0,1,1,1,1,1,8.0,0,0
68,1,3.0,0,1,0,0,0,3.0,0,0
32,0,11.0,0,0,1,1,0,11.0,1,2
13,1,0.0,0,1,1,1,0,11.0,1,2
5,0,0.0,0,1,1,1,0,11.0,1,2
24,0,13.0,0,0,1,1,0,11.0,1,2
54,0,8.0,0,1,0,0,0,8.0,0,0
29,1,14.0,1,1,0,0,0,8.0,0,0
13,0,9.0,0,0,1,1,1,11.0,0,2
9,1,4.0,0,0,1,1,1,11.0,0,2
40,1,13.0,1,1,0,0,1,13.0,0,2
40,0,13.0,0,1,0,0,1,13.0,0,2
22,1,13.0,1,0,0,1,1,13.0,0,2
20,1,13.0,0,1,0,1,1,13.0,0,2
15,1,10.0,0,1,0,1,1,13.0,0,2
9,0,5.0,0,1,0,1,1,13.0,0,2
2,0,0.0,0,1,0,1,1,13.0,0,2
58,1,8.0,0,1,0,0,0,8.0,0,0
70,1,8.0,0,1,1,1,0,8.0,1,0
38,1,13.0,1,1,0,0,1,13.0,0,2
34,0,13.0,1,1,0,0,1,13.0,0,2
12,1,9.0,0,1,0,1,1,13.0,0,2
8,0,3.0,0,1,0,1,1,13.0,0,2
